City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Morant Bay,JM,87.8,17.88,-76.41,Whispering Bamboo Cove Resort
1,Rikitea,PF,77.85,-23.12,-134.97,Pension Maro'i
9,Baldeogarh,IN,87.49,24.75,79.07,ChhChhotChhChhotu
14,Butaritari,KI,83.48,3.07,172.79,Isles Sunset Lodge
21,Faanui,PF,81.79,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
34,Malakal,SS,92.26,9.53,31.66,Nile Palace Hotel
43,Buala,SB,81.34,-8.14,159.59,Maringe Lagoon Lodge
46,Santa,PH,81.28,17.49,120.43,The Mansion
56,Kismayo,SO,82.0,-0.36,42.55,Agan-Hotel
61,Hithadhoo,MV,84.36,-0.6,73.08,Scoop Guest House
63,Labuhan,ID,77.47,-6.88,112.21,Rumah Naqsa
72,Arraial Do Cabo,BR,82.4,-22.97,-42.03,Pousada Porto Praia
77,Salalah,OM,84.2,17.02,54.09,HAMDAN PLAZA HOTEL SALALAH
79,Sao Gabriel Da Cachoeira,BR,77.11,-0.13,-67.09,Alarne - Área De Lazer Do Alto Rio Negro
80,Cayenne,GF,82.4,4.93,-52.33,Hôtel Le Dronmi
87,Cabo San Lucas,MX,89.6,22.89,-109.91,Hotel Tesoro Los Cabos
92,Panaba,MX,91.49,21.28,-88.27,Hotel Amor
95,Georgetown,MY,84.2,5.41,100.34,Cititel Penang
96,Sao Jose Da Coroa Grande,BR,79.86,-8.9,-35.15,Crôa Mares Hotel
101,George Town,MY,84.2,5.41,100.34,Cititel Penang
102,Port Blair,IN,81.46,11.67,92.75,Welcomhotel Bay Island Port Blair
105,Ugoofaaru,MV,84.61,5.67,73.0,Ungoofaaru Inn
111,Matay,EG,83.93,28.42,30.78,Nag Aespen
113,Nortelandia,BR,87.73,-14.45,-56.8,Hotel Karysmã
118,Alenquer,BR,86.0,-1.94,-54.74,Josilene Castro
121,The Valley,AI,86.0,18.22,-63.06,CeBlue Villas & Beach Resort
123,Kapaa,US,77.0,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
127,Russell,US,82.99,32.35,-85.2,Macs
138,Puerto Ayora,EC,84.2,-0.74,-90.35,Finch Bay Galapagos Hotel
143,Lamu,KE,79.32,-2.27,40.9,Lamu House
148,Ahuimanu,US,80.6,21.44,-157.84,Paradise Bay Resort
151,Maceio,BR,82.4,-9.67,-35.74,Poutur Pousada
153,Sassandra,CI,80.92,4.95,-6.08,la terrasse
159,Gizo,SB,82.87,-8.1,156.84,Imagination Island
162,Port-Gentil,GA,78.8,-0.72,8.78,Fengshui Residence
163,Palmeirais,BR,82.11,-5.98,-43.06,Pousada LS
164,Barillas,GT,77.31,15.8,-91.32,Hotel Arizona
166,Bahile,PH,79.83,10.0,118.79,Hillside Resort Palawan
169,Sao Joao Da Barra,BR,80.6,-21.64,-41.05,Pousada Porto De Canoas
173,Amahai,ID,78.93,-3.33,128.92,HOTEL ISABELA
177,Avarua,CK,78.8,-21.21,-159.78,Paradise Inn
181,Coahuayana,MX,87.8,18.73,-103.68,El rranchito michuacan de ocampos
182,Bathsheba,BB,86.0,13.22,-59.52,Atlantis Hotel
186,Hilo,US,82.4,19.73,-155.09,Hilo Hawaiian Hotel
189,Awbari,LY,85.17,26.59,12.78,فندق أوباري
191,Qui Nhon,VN,79.32,13.77,109.23,Hoang Yen Canary Hotel
193,Veraval,IN,81.55,20.9,70.37,Lords Inn Somnath
194,Victoria,HK,78.01,22.29,114.16,Mini Hotel Central
196,Quixeramobim,BR,81.1,-5.2,-39.29,Hotel Veredas do Sertão
197,Bonthe,SL,82.17,7.53,-12.51,Bonthe Holiday Village
199,Saint George,US,78.01,37.1,-113.58,Best Western Plus Abbey Inn
210,Atuona,PF,81.81,-9.8,-139.03,Villa Enata
211,Sao Felix Do Xingu,BR,85.44,-6.64,-51.99,Apart Hotel Rio Xingu
212,Vanimo,PG,78.76,-2.67,141.3,Vahmoneh Lodge Vanimo
213,Bengkulu,ID,78.26,-3.8,102.27,Grage Hotel Bengkulu
220,Kavieng,PG,83.23,-2.57,150.8,Nusa Island Retreat
221,Trincomalee,LK,83.28,8.57,81.23,Welcombe Hotel
224,Nhulunbuy,AU,78.8,-12.23,136.77,East Arnhem Real Estate
225,Axim,GH,81.3,4.87,-2.24,AXIM BEACH RESORT AND SPA
226,Atar,MR,87.04,20.52,-13.05,Oumou Elghoura
229,Tarakan,ID,81.23,3.3,117.63,RedDoorz Syariah near Taman Berlabuh Tarakan
230,Jaypur,IN,79.81,18.85,82.58,Hotel Hello Jeypore
239,Alofi,NU,77.0,-19.06,-169.92,Taloa Heights
241,San Cristobal,VE,87.8,7.77,-72.22,Pirineos
248,Mogadishu,SO,81.12,2.04,45.34,Hotel Juba
251,Vaitape,PF,82.62,-16.52,-151.75,Conrad Bora Bora Nui
253,Adoni,IN,86.07,15.63,77.28,Bheemas Regency
254,Alta Floresta,BR,83.84,-9.88,-56.09,Floresta Amazonica Hotel
256,Daru,PG,78.62,-9.08,143.21,Daru Lodge
258,Makurdi,NG,83.16,7.74,8.51,Doo Palace Hotel
259,Beni Mazar,EG,83.91,28.5,30.8,مسجد الشيخ ابوالليل
260,Kloulklubed,PW,78.8,7.04,134.26,Storyboard Beach Resort
261,Vila Velha,BR,79.0,-20.33,-40.29,Quality Suites Vila Velha
262,Pocri,PA,86.0,8.27,-80.55,Residencial D Cache
270,La Asuncion,VE,87.8,11.03,-63.86,Colinas de Matasiete
272,Benghazi,LY,78.12,32.12,20.07,Tibesti Hotel
276,Mecca,SA,89.19,21.43,39.83,"Makkah Clock Royal Tower, A Fairmont Hotel"
278,Jaciara,BR,80.28,-15.97,-54.97,Taba Hotel
283,Bandarbeyla,SO,83.28,9.49,50.81,JABIR HOTEL
284,Ranong,TH,80.6,9.97,98.63,Tinidee Hotel@Ranong
288,Barra Do Garcas,BR,86.0,-15.89,-52.26,Hotel Pousada Tropical
290,Santo Domingo,DO,87.01,18.5,-69.99,Cabañas City Heart
292,Aborlan,PH,80.49,9.44,118.55,Kevina Transient House
298,Sabha,LY,83.08,27.04,14.43,محطة ام الارانب -سبها مواصلات
300,Dhidhdhoo,MV,85.73,6.88,73.1,Dhidhoo beach
302,Uribia,CO,94.82,11.71,-72.27,Hotel Uribia
303,Kavaratti,IN,85.87,10.57,72.64,Hotels in Lakshadweep Islands
304,Pio Xii,BR,85.17,-3.83,-45.15,BACURI DOS QUARESMAS
305,Manokwari,ID,80.4,-0.87,134.08,Swiss Belhotel Manokwari
307,Jiquilisco,SV,86.0,13.32,-88.58,El Jiquilite Centro De Reuniones
308,La Libertad,EC,82.4,-2.23,-80.9,Playa Canela Hotel Boutique
313,Padang,ID,79.81,-0.95,100.35,Mercure Padang
316,Acarau,BR,81.54,-2.89,-40.12,castelo pizzaria
326,Benguela,AO,77.02,-12.58,13.41,Hotel Praia Morena
332,Bambanglipuro,ID,78.08,-7.95,110.28,Puri Brata
333,Champerico,GT,89.6,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
334,Bhuj,IN,77.99,23.27,69.67,Regenta Resort Bhuj
338,Hambantota,LK,78.8,6.12,81.12,Bungalow 63
342,Moerai,PF,79.2,-22.43,-151.33,Le Manotel
346,Silver City,US,77.0,32.77,-108.28,Copper Manor Motel
348,Itarema,BR,81.32,-2.92,-39.92,"Sea Lounge! Bar, Club & Restaurant"
351,Koutiala,ML,98.89,12.39,-5.46,Hotel Campement Poule Verte
355,Touros,BR,84.2,-5.2,-35.46,INN NEW HORIZON
358,Auki,SB,79.05,-8.77,160.7,Auki Motel
363,Belmonte,BR,78.8,-15.86,-38.88,Pousada Monte Carmelo O Pão
367,Namibe,AO,77.65,-15.2,12.15,Hotel Chik Chik Namibe
369,Tingo Maria,PE,82.4,-9.29,-76.01,Hospedaje Paraíso
372,Saint-Georges,GD,86.0,12.06,-61.75,Radisson Grenada Beach Resort
373,Meulaboh,ID,77.63,4.14,96.13,Kost Pria
376,San Patricio,MX,80.6,19.22,-104.7,Hotel Cabo Blanco
378,Dingle,PH,79.11,11.0,122.67,SEGAYA PROPERTY
382,Yagoua,CM,89.87,10.34,15.23,HÔTEL LE PROGRÈS
383,Lorengau,PG,81.68,-2.02,147.27,Lorengau Harbourside Hotel
389,Tabou,CI,81.37,4.42,-7.35,hotêl doufoulougou
390,Hobyo,SO,84.07,5.35,48.53,Halane Hotel and Restaurent
393,Harper,LR,81.14,4.38,-7.72,Screensaver
398,Basco,PH,81.86,20.45,121.97,Nathaniel's Lodge
400,Esmeralda,CU,84.2,21.85,-78.12,Centro de Pioneros Exploradores
403,Bubaque,GW,79.05,11.28,-15.83,"Casa Dora, Bubaque"
405,Maragogi,BR,79.48,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
406,Gat,IL,77.0,31.61,34.76,OlusHome
407,Jerez,GT,82.6,14.1,-89.75,Auto hotel Esmeralda
408,Magdalena,PH,84.2,14.2,121.43,Bahay Ni Luz Bed & Breakfast
412,Riachao Do Jacuipe,BR,78.13,-11.81,-39.39,Riachão Palace Hotel
413,Nanakuli,US,80.6,21.39,-158.15,Camp Pālehua
414,Ixtapa,MX,82.4,20.7,-105.2,Hotel Plaza Providencia
418,Chilakalurupet,IN,82.51,16.08,80.17,PR homes
419,Pathein,MM,81.95,16.78,94.73,New Pammawaddy Hotel
421,Rosita,NI,86.5,13.93,-84.4,Quinta Las Colina
430,Lubao,PH,80.6,14.92,120.55,Hacienda Gracia
444,Aswan,EG,92.17,24.09,32.91,Nuba Nile
445,Dwarka,IN,81.19,22.24,68.97,Hotel Narayan Avezika Comfort
448,Tura,IN,78.21,25.52,90.22,Hotel RIKMAN Continental
451,Kolokani,ML,93.78,13.57,-8.03,Lycee Famolo Coulibalibali De Kolokani
452,Macau,MO,78.8,22.2,113.55,Grand Emperor Hotel
457,Puerto Escondido,MX,87.8,15.85,-97.07,Aldea del Bazar Hotel and Spa
461,Carutapera,BR,82.42,-1.2,-46.02,Lidera
462,Cockburn Town,TC,80.2,21.46,-71.14,Osprey Beach Hotel
463,Kota Bahru,MY,82.4,6.13,102.24,Grand Riverview Hotel
468,Humaita,BR,85.01,-7.51,-63.02,Corrêa Hotel
471,Pangai,TO,78.8,-19.8,-174.35,Ha'apai Beach Resort
475,Miri,MY,77.0,4.41,114.01,"Mega Hotel, Miri"
477,San-Pedro,CI,81.14,4.75,-6.64,Hotel Maria
479,Road Town,VG,87.8,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
480,Luwuk,ID,78.69,-0.95,122.79,Hotel Santika Luwuk
482,Kahului,US,82.4,20.89,-156.47,Maui Seaside Hotel
486,Mongo,TD,89.38,12.18,18.69,Résidences du Programme FIDA
488,Namatanai,PG,80.46,-3.67,152.43,Namatanai Hotel
489,Sakakah,SA,80.6,29.97,40.21,Fakhamat Al Orjoana Apartment
490,San Policarpo,PH,81.12,12.18,125.51,JM Lodge
499,Tual,ID,83.75,-5.67,132.75,Grand Vilia Hotel
505,Kutum,SD,83.1,14.2,24.67,Dibbo areaمنطقة دبو
506,Nisia Floresta,BR,84.2,-6.09,-35.21,Rancho Crepusculo
514,Bolgatanga,GH,98.35,10.79,-0.85,Mama's Place
517,Saint-Marc,HT,84.72,19.11,-72.69,Maguana Hotel
524,Ambon,ID,81.36,-3.7,128.18,Swiss-Belhotel Ambon
525,Nanning,CN,78.8,22.82,108.32,Nanning Travelling With Hostel
527,Qeshm,IR,80.6,26.96,56.27,Kimia IV Hotel
529,Cururupu,BR,82.42,-1.83,-44.87,Pousada Través'cia
532,Biltine,TD,86.4,14.53,20.92,Hôtel Trois Étoiles de Biltine
541,Jaumave,MX,95.0,23.42,-99.38,HOTEL CIENEGA
543,Chabahar,IR,82.4,25.29,60.64,هتل گدروشیا
547,Mitsamiouli,KM,81.21,-11.38,43.28,Foyer ADM
555,Brownsville,US,89.6,25.9,-97.5,University Inn & Suites
557,Tecoanapa,MX,88.23,16.52,-98.75,Hotel Manglares
561,Kualakapuas,ID,80.6,-3.01,114.39,Guest House Izonk
572,Cajazeiras,BR,79.63,-6.89,-38.56,Oasis Hotel
574,Pascagoula,US,84.99,30.37,-88.56,Regency Inn
576,Batticaloa,LK,81.3,7.71,81.69,Grand Star Guest House
